instance_path,score
"real-world/appalachian_regional_project.txt",78464
"real-world/deutsche_digitale_bibliothek.txt",49302483
"real-world/vatican_secret_archives_project.txt",2544059
"real-world/oxford_bodleian_archives.txt",7979867
"real-world/new_york_public_library_system.txt",22063138
"real-world/internet_archive_bulk_scanning.txt",14967982
"synthetic/synthetic_70.txt",249881
"synthetic/synthetic_12.txt",28394170
"synthetic/synthetic_121.txt",48041
"synthetic/synthetic_101.txt",152994
"synthetic/synthetic_1.txt",267587
